Location,Value
A1,84
A2,30
A3,41
A4,20
A5,30
A6,44
A7,119
A8,120
A9,86
A10,34
A11,23
A12,69
A13,82
A14,98
A15,87
A16,42
A17,14
A18,59
A19,101
A20,89
A21,98
A22,103
A23,70
A24,55
A25,51
A26,25
A27,37
A28,100
A29,21
A30,72
A31,71
A32,19
A33,53
A34,24
A35,64
A36,111
A37,68
A38,51
A39,12
A40,100
A41,119
A42,29
A43,42
A44,47
A45,48
A46,16
A47,83
A48,106
A49,111
A50,74
B1,10
B2,18
B3,92
B4,33
B5,63
B6,51
B7,13
B8,43
B9,53
B10,89
B11,115
B12,61
B13,17
B14,70
B15,62
B16,10
B17,112
B18,85
B19,32
B20,72
B21,57
B22,88
B23,81
B24,39
B25,108
B26,81
B27,98
B28,49
B29,38
B30,21
B31,20
B32,111
B33,47
B34,111
B35,26
B36,120
B37,110
B38,43
B39,16
B40,50
B41,98
B42,107
B43,49
B44,36
B45,86
B46,103
B47,73
B48,18
B49,50
B50,20
C1,13
C2,92
C3,66
C4,34
C5,110
C6,101
C7,21
C8,49
C9,23
C10,87
C11,11
C12,29
C13,93
C14,86
C15,36
C16,111
C17,108
C18,66
C19,81
C20,55
C21,58
C22,28
C23,57
C24,115
C25,118
C26,80
C27,69
C28,34
C29,50
C30,56
C31,21
C32,115
C33,42
C34,110
C35,48
C36,40
C37,15
C38,76
C39,98
C40,17
C41,13
C42,108
C43,76
C44,54
C45,72
C46,100
C47,71
C48,108
C49,90
C50,102
D1,97
D2,33
D3,84
D4,27
D5,11
D6,116
D7,51
D8,59
D9,89
D10,25
D11,50
D12,30
D13,101
D14,99
D15,17
D16,118
D17,102
D18,53
D19,45
D20,115
D21,103
D22,48
D23,103
D24,58
D25,106
D26,110
D27,85
D28,37
D29,41
D30,25
D31,13
D32,120
D33,48
D34,71
D35,24
D36,36
D37,118
D38,69
D39,112
D40,47
D41,49
D42,30
D43,42
D44,76
D45,94
D46,97
D47,76
D48,82
D49,32
D50,72
E1,50
E2,112
E3,75
E4,56
E5,96
E6,104
E7,18
E8,116
E9,84
E10,14
E11,44
E12,105
E13,17
E14,96
E15,44
E16,112
E17,59
E18,79
E19,52
E20,16
E21,33
E22,37
E23,79
E24,106
E25,57
E26,111
E27,48
E28,118
E29,119
E30,23
E31,19
E32,72
E33,113
E34,107
E35,30
E36,79
E37,120
E38,90
E39,79
E40,85
E41,99
E42,119
E43,16
E44,65
E45,25
E46,102
E47,101
E48,32
E49,40
E50,114
F1,96
F2,72
F3,109
F4,15
F5,43
F6,113
F7,13
F8,51
F9,66
F10,120
F11,21
F12,27
F13,109
F14,51
F15,45
F16,116
F17,90
F18,36
F19,32
F20,118
F21,24
